stationId,carId,path,start_date_time,end_date_time
143240,506726,"[[115.84358333333331, 28.61283333333333, '2021-09-08 17:32:45'], [115.84358333333331, 28.61283333333333, '2021-09-08 17:33:00']]",2021-09-08 17:32:45,2021-09-08 17:33:00
133838,506726,"[[115.846, 28.61293333333333, '2021-09-08 17:34:15'], [115.84708333333332, 28.612966666666665, '2021-09-08 17:34:30']]",2021-09-08 17:34:15,2021-09-08 17:34:30
133837,506726,"[[115.85528333333332, 28.612766666666666, '2021-09-08 17:39:15'], [115.85641666666666, 28.612483333333333, '2021-09-08 17:39:30'], [115.85726666666666, 28.612216666666665, '2021-09-08 17:39:45']]",2021-09-08 17:39:15,2021-09-08 17:39:45
113058,506726,"[[115.86656666666669, 28.623266666666662, '2021-09-08 17:43:15'], [115.86731666666668, 28.623666666666665, '2021-09-08 17:43:30']]",2021-09-08 17:43:15,2021-09-08 17:43:30
113057,506726,"[[115.8713, 28.62763333333333, '2021-09-08 17:46:30'], [115.87133333333334, 28.627666666666663, '2021-09-08 17:46:45']]",2021-09-08 17:46:30,2021-09-08 17:46:45
113056,506726,"[[115.8751, 28.63308333333333, '2021-09-08 17:50:15'], [115.87548333333334, 28.633883333333333, '2021-09-08 17:50:30']]",2021-09-08 17:50:15,2021-09-08 17:50:30
113055,506726,"[[115.87636666666668, 28.637666666666668, '2021-09-08 17:51:15'], [115.87643333333334, 28.638166666666667, '2021-09-08 17:51:30']]",2021-09-08 17:51:15,2021-09-08 17:51:30
143248,506726,"[[115.87673333333332, 28.64205, '2021-09-08 17:52:15'], [115.87671666666668, 28.642716666666665, '2021-09-08 17:52:30']]",2021-09-08 17:52:15,2021-09-08 17:52:30
133831,506726,"[[115.87661666666666, 28.64573333333333, '2021-09-08 17:54:30'], [115.87666666666668, 28.64698333333333, '2021-09-08 17:54:45'], [115.87666666666668, 28.64718333333333, '2021-09-08 17:55:00'], [115.87665, 28.647816666666667, '2021-09-08 17:55:15'], [115.87665, 28.64783333333333, '2021-09-08 17:55:30'], [115.87665, 28.64783333333333, '2021-09-08 17:55:45']]",2021-09-08 17:54:30,2021-09-08 17:55:45
144593,506726,"[[115.87741666666666, 28.65478333333333, '2021-09-08 18:01:00'], [115.87741666666666, 28.65488333333333, '2021-09-08 18:01:15']]",2021-09-08 18:01:00,2021-09-08 18:01:15
106612,506726,"[[115.87741666666666, 28.65488333333333, '2021-09-08 18:01:15'], [115.87745, 28.655716666666667, '2021-09-08 18:01:30'], [115.87766666666668, 28.656983333333333, '2021-09-08 18:01:45'], [115.87773333333334, 28.65726666666667, '2021-09-08 18:02:00'], [115.87773333333334, 28.65726666666667, '2021-09-08 18:02:15']]",2021-09-08 18:01:15,2021-09-08 18:02:15
