stationId,carId,path,start_date_time,end_date_time
105575,300975,"[[115.8545, 28.687866666666668, '2021-09-11 11:00:00'], [115.85326666666668, 28.68835, '2021-09-11 11:00:15']]",2021-09-11 11:00:00,2021-09-11 11:00:15
105570,300975,"[[115.85995, 28.6942, '2021-09-11 11:05:00'], [115.86053333333334, 28.694416666666665, '2021-09-11 11:05:15']]",2021-09-11 11:05:00,2021-09-11 11:05:15
121129,300975,"[[115.86343333333332, 28.69545, '2021-09-11 11:06:15'], [115.86386666666668, 28.69565, '2021-09-11 11:06:30']]",2021-09-11 11:06:15,2021-09-11 11:06:30
105569,300975,"[[115.86386666666668, 28.69565, '2021-09-11 11:06:30'], [115.86501666666666, 28.69608333333333, '2021-09-11 11:06:45'], [115.86558333333332, 28.69633333333333, '2021-09-11 11:07:00']]",2021-09-11 11:06:30,2021-09-11 11:07:00
121130,300975,"[[115.86701666666669, 28.697766666666663, '2021-09-11 11:08:15'], [115.86718333333332, 28.69805, '2021-09-11 11:08:30']]",2021-09-11 11:08:15,2021-09-11 11:08:30
112329,300975,"[[115.87, 28.69763333333333, '2021-09-11 11:09:15'], [115.87, 28.69763333333333, '2021-09-11 11:09:30']]",2021-09-11 11:09:15,2021-09-11 11:09:30
122991,300975,"[[115.8725, 28.69608333333333, '2021-09-11 11:09:45'], [115.87398333333331, 28.69513333333333, '2021-09-11 11:10:00'], [115.87558333333334, 28.6941, '2021-09-11 11:10:15']]",2021-09-11 11:09:45,2021-09-11 11:10:15
112339,300975,"[[115.87976666666668, 28.6915, '2021-09-11 11:11:00'], [115.88121666666666, 28.691066666666668, '2021-09-11 11:11:15']]",2021-09-11 11:11:00,2021-09-11 11:11:15
102588,300975,"[[115.8908, 28.69143333333333, '2021-09-11 11:13:45'], [115.8908, 28.69143333333333, '2021-09-11 11:14:00']]",2021-09-11 11:13:45,2021-09-11 11:14:00
102587,300975,"[[115.89626666666666, 28.6909, '2021-09-11 11:16:45'], [115.89625, 28.6909, '2021-09-11 11:17:00']]",2021-09-11 11:16:45,2021-09-11 11:17:00
113478,300975,"[[115.89773333333332, 28.690766666666665, '2021-09-11 11:18:15'], [115.89938333333332, 28.691, '2021-09-11 11:18:30'], [115.90006666666666, 28.69108333333333, '2021-09-11 11:18:45'], [115.90006666666666, 28.69108333333333, '2021-09-11 11:19:00']]",2021-09-11 11:18:15,2021-09-11 11:19:00
102585,300975,"[[115.90466666666669, 28.691333333333333, '2021-09-11 11:20:30'], [115.90478333333331, 28.691366666666667, '2021-09-11 11:20:45']]",2021-09-11 11:20:30,2021-09-11 11:20:45
105563,300975,"[[115.90876666666666, 28.691233333333333, '2021-09-11 11:22:30'], [115.90921666666668, 28.6912, '2021-09-11 11:22:45'], [115.90921666666668, 28.6912, '2021-09-11 11:23:00'], [115.9093, 28.691216666666666, '2021-09-11 11:23:15']]",2021-09-11 11:22:30,2021-09-11 11:23:15
105561,300975,"[[115.935, 28.6904, '2021-09-11 11:30:00'], [115.93546666666668, 28.690416666666668, '2021-09-11 11:30:15']]",2021-09-11 11:30:00,2021-09-11 11:30:15
105560,300975,"[[115.93875, 28.69045, '2021-09-11 11:33:30'], [115.93875, 28.69045, '2021-09-11 11:33:45'], [115.93918333333332, 28.6905, '2021-09-11 11:34:00']]",2021-09-11 11:33:30,2021-09-11 11:34:00
105976,300975,"[[115.94275, 28.6911, '2021-09-11 11:39:45'], [115.94466666666666, 28.691466666666667, '2021-09-11 11:40:00'], [115.94551666666666, 28.69163333333333, '2021-09-11 11:40:15'], [115.94551666666666, 28.69163333333333, '2021-09-11 11:40:30'], [115.94603333333332, 28.69173333333333, '2021-09-11 11:40:45'], [115.94696666666668, 28.6919, '2021-09-11 11:41:00'], [115.9477, 28.69205, '2021-09-11 11:41:15']]",2021-09-11 11:39:45,2021-09-11 11:41:15
102842,300975,"[[115.94891666666666, 28.692266666666665, '2021-09-11 11:41:45'], [115.9494, 28.69233333333333, '2021-09-11 11:42:00'], [115.9494, 28.69233333333333, '2021-09-11 11:42:15'], [115.95013333333333, 28.69248333333333, '2021-09-11 11:42:30'], [115.95123333333332, 28.6927, '2021-09-11 11:42:45'], [115.95333333333332, 28.69308333333333, '2021-09-11 11:43:00'], [115.9539, 28.69315, '2021-09-11 11:43:15'], [115.9539, 28.69315, '2021-09-11 11:43:30']]",2021-09-11 11:41:45,2021-09-11 11:43:30
105555,300975,"[[115.9539, 28.69315, '2021-09-11 11:43:30'], [115.95443333333333, 28.693283333333333, '2021-09-11 11:43:45']]",2021-09-11 11:43:30,2021-09-11 11:43:45
105554,300975,"[[115.95966666666666, 28.694233333333333, '2021-09-11 11:44:45'], [115.96011666666666, 28.694316666666666, '2021-09-11 11:45:00']]",2021-09-11 11:44:45,2021-09-11 11:45:00
142907,300975,"[[115.96371666666668, 28.694966666666662, '2021-09-11 11:46:30'], [115.9649, 28.695183333333333, '2021-09-11 11:46:45']]",2021-09-11 11:46:30,2021-09-11 11:46:45
105553,300975,"[[115.96636666666669, 28.695416666666667, '2021-09-11 11:47:15'], [115.96645, 28.69543333333333, '2021-09-11 11:47:30'], [115.96678333333334, 28.695516666666663, '2021-09-11 11:47:45']]",2021-09-11 11:47:15,2021-09-11 11:47:45
140535,300975,"[[115.968, 28.69245, '2021-09-11 11:49:00'], [115.968, 28.691333333333333, '2021-09-11 11:49:15']]",2021-09-11 11:49:00,2021-09-11 11:49:15
105552,300975,"[[115.96896666666666, 28.6895, '2021-09-11 11:50:00'], [115.97001666666668, 28.689666666666668, '2021-09-11 11:50:15'], [115.97041666666668, 28.689716666666666, '2021-09-11 11:50:30']]",2021-09-11 11:50:00,2021-09-11 11:50:30
105575,300975,"[[115.85368333333334, 28.688233333333333, '2021-09-11 14:18:45'], [115.8534, 28.688316666666665, '2021-09-11 14:19:00']]",2021-09-11 14:18:45,2021-09-11 14:19:00
105570,300975,"[[115.86031666666666, 28.69435, '2021-09-11 14:24:00'], [115.8617, 28.69485, '2021-09-11 14:24:15']]",2021-09-11 14:24:00,2021-09-11 14:24:15
121129,300975,"[[115.86345, 28.69548333333333, '2021-09-11 14:25:00'], [115.8637, 28.695616666666663, '2021-09-11 14:25:15']]",2021-09-11 14:25:00,2021-09-11 14:25:15
105569,300975,"[[115.8637, 28.695616666666663, '2021-09-11 14:25:15'], [115.8646, 28.695933333333333, '2021-09-11 14:25:30'], [115.8646, 28.695933333333333, '2021-09-11 14:25:45']]",2021-09-11 14:25:15,2021-09-11 14:25:45
121130,300975,"[[115.86553333333332, 28.696283333333334, '2021-09-11 14:27:00'], [115.86608333333334, 28.696683333333333, '2021-09-11 14:27:15'], [115.86685, 28.69758333333333, '2021-09-11 14:27:30'], [115.86703333333334, 28.697783333333334, '2021-09-11 14:27:45'], [115.86703333333334, 28.697783333333334, '2021-09-11 14:28:00']]",2021-09-11 14:27:00,2021-09-11 14:28:00
