stationId,carId,path,start_date_time,end_date_time
131293,807517,"[[115.86783333333334, 28.746916666666667, '2021-09-08 18:05:45'], [115.86785, 28.7474, '2021-09-08 18:06:00']]",2021-09-08 18:05:45,2021-09-08 18:06:00
113459,807517,"[[115.86785, 28.74878333333333, '2021-09-08 18:06:15'], [115.86785, 28.75045, '2021-09-08 18:06:30']]",2021-09-08 18:06:15,2021-09-08 18:06:30
113458,807517,"[[115.87013333333331, 28.753, '2021-09-08 18:14:15'], [115.8705, 28.753, '2021-09-08 18:14:30']]",2021-09-08 18:14:15,2021-09-08 18:14:30
113457,807517,"[[115.87481666666666, 28.753016666666667, '2021-09-08 18:15:15'], [115.8761, 28.753016666666667, '2021-09-08 18:15:30']]",2021-09-08 18:15:15,2021-09-08 18:15:30
135829,807517,"[[115.88708333333334, 28.760866666666665, '2021-09-08 18:21:00'], [115.88635, 28.76085, '2021-09-08 18:21:15']]",2021-09-08 18:21:00,2021-09-08 18:21:15
113452,807517,"[[115.88226666666668, 28.767116666666663, '2021-09-08 18:23:15'], [115.88226666666668, 28.768183333333333, '2021-09-08 18:23:30']]",2021-09-08 18:23:15,2021-09-08 18:23:30
113365,807517,"[[115.88228333333332, 28.7695, '2021-09-08 18:23:45'], [115.88226666666668, 28.77078333333333, '2021-09-08 18:24:00']]",2021-09-08 18:23:45,2021-09-08 18:24:00
131293,807517,"[[115.86745, 28.746583333333334, '2021-09-09 16:36:30'], [115.86788333333334, 28.747533333333333, '2021-09-09 16:36:45']]",2021-09-09 16:36:30,2021-09-09 16:36:45
113459,807517,"[[115.86788333333334, 28.74833333333333, '2021-09-09 16:37:00'], [115.8679, 28.7497, '2021-09-09 16:37:15']]",2021-09-09 16:37:00,2021-09-09 16:37:15
113458,807517,"[[115.87018333333332, 28.75305, '2021-09-09 16:38:15'], [115.87155, 28.75305, '2021-09-09 16:38:30']]",2021-09-09 16:38:15,2021-09-09 16:38:30
113457,807517,"[[115.8761, 28.75305, '2021-09-09 16:39:15'], [115.8773, 28.75305, '2021-09-09 16:39:30']]",2021-09-09 16:39:15,2021-09-09 16:39:30
135829,807517,"[[115.88956666666668, 28.76083333333333, '2021-09-09 16:45:30'], [115.88953333333332, 28.76096666666667, '2021-09-09 16:45:45'], [115.88786666666668, 28.760866666666665, '2021-09-09 16:46:00'], [115.88621666666668, 28.760866666666665, '2021-09-09 16:46:15'], [115.88473333333332, 28.76088333333333, '2021-09-09 16:46:30']]",2021-09-09 16:45:30,2021-09-09 16:46:30
113452,807517,"[[115.88223333333332, 28.7671, '2021-09-09 16:48:00'], [115.88223333333332, 28.768283333333333, '2021-09-09 16:48:15']]",2021-09-09 16:48:00,2021-09-09 16:48:15
