stationId,carId,path,start_date_time,end_date_time
144023,507665,"[[115.77935, 28.63478333333333, '2021-09-08 17:45:30'], [115.77898333333331, 28.634916666666665, '2021-09-08 17:45:45']]",2021-09-08 17:45:30,2021-09-08 17:45:45
137579,507665,"[[115.7728, 28.637666666666668, '2021-09-08 17:47:00'], [115.7728, 28.637666666666668, '2021-09-08 17:47:15']]",2021-09-08 17:47:00,2021-09-08 17:47:15
125771,507665,"[[115.76891666666668, 28.639316666666662, '2021-09-08 17:48:45'], [115.76816666666669, 28.63965, '2021-09-08 17:49:00']]",2021-09-08 17:48:45,2021-09-08 17:49:00
144047,507665,"[[115.76661666666666, 28.637716666666662, '2021-09-08 17:51:15'], [115.76573333333332, 28.6368, '2021-09-08 17:51:30']]",2021-09-08 17:51:15,2021-09-08 17:51:30
121592,507665,"[[115.75058333333334, 28.626483333333333, '2021-09-08 17:56:15'], [115.74993333333332, 28.62593333333333, '2021-09-08 17:56:30']]",2021-09-08 17:56:15,2021-09-08 17:56:30
116425,507665,"[[115.74916666666668, 28.61755, '2021-09-08 17:58:15'], [115.74916666666668, 28.61755, '2021-09-08 17:58:30']]",2021-09-08 17:58:15,2021-09-08 17:58:30
144726,507665,"[[115.74568333333332, 28.617566666666665, '2021-09-08 17:59:00'], [115.74568333333332, 28.617566666666665, '2021-09-08 17:59:15']]",2021-09-08 17:59:00,2021-09-08 17:59:15
144030,507665,"[[115.74511666666666, 28.621116666666666, '2021-09-08 17:59:45'], [115.74515, 28.6217, '2021-09-08 18:00:00'], [115.7451, 28.62213333333333, '2021-09-08 18:00:15']]",2021-09-08 17:59:45,2021-09-08 18:00:15
121589,507665,"[[115.73248333333332, 28.63, '2021-09-08 18:05:30'], [115.73171666666669, 28.630883333333333, '2021-09-08 18:05:45']]",2021-09-08 18:05:30,2021-09-08 18:05:45
144023,507665,"[[115.77911666666668, 28.6349, '2021-09-09 11:46:45'], [115.77765, 28.63555, '2021-09-09 11:47:00']]",2021-09-09 11:46:45,2021-09-09 11:47:00
137579,507665,"[[115.7728, 28.6377, '2021-09-09 11:48:00'], [115.77176666666666, 28.63815, '2021-09-09 11:48:15']]",2021-09-09 11:48:00,2021-09-09 11:48:15
125771,507665,"[[115.7713, 28.638366666666663, '2021-09-09 11:49:00'], [115.7713, 28.638366666666663, '2021-09-09 11:49:15'], [115.7713, 28.638366666666663, '2021-09-09 11:49:30'], [115.7713, 28.638366666666663, '2021-09-09 11:49:45'], [115.7713, 28.638366666666663, '2021-09-09 11:50:00'], [115.76943333333334, 28.639133333333334, '2021-09-09 11:50:15'], [115.76825, 28.63965, '2021-09-09 11:50:30']]",2021-09-09 11:49:00,2021-09-09 11:50:30
144047,507665,"[[115.76825, 28.63965, '2021-09-09 11:51:00'], [115.76825, 28.63965, '2021-09-09 11:51:15'], [115.76825, 28.63965, '2021-09-09 11:51:30'], [115.76825, 28.63965, '2021-09-09 11:51:45'], [115.76825, 28.63965, '2021-09-09 11:52:00'], [115.76768333333334, 28.6396, '2021-09-09 11:52:15'], [115.76698333333331, 28.638366666666663, '2021-09-09 11:52:30'], [115.76655, 28.637616666666663, '2021-09-09 11:52:45']]",2021-09-09 11:51:00,2021-09-09 11:52:45
121592,507665,"[[115.74995, 28.626416666666668, '2021-09-09 11:56:45'], [115.7501, 28.6254, '2021-09-09 11:57:00']]",2021-09-09 11:56:45,2021-09-09 11:57:00
116425,507665,"[[115.75038333333332, 28.619733333333333, '2021-09-09 11:58:00'], [115.75036666666666, 28.61788333333333, '2021-09-09 11:58:15'], [115.74916666666668, 28.61758333333333, '2021-09-09 11:58:30'], [115.74901666666666, 28.617566666666665, '2021-09-09 11:58:45'], [115.74731666666666, 28.6175, '2021-09-09 11:59:00']]",2021-09-09 11:58:00,2021-09-09 11:59:00
144726,507665,"[[115.74493333333334, 28.61563333333333, '2021-09-09 12:00:45'], [115.74491666666668, 28.6135, '2021-09-09 12:01:00'], [115.74508333333333, 28.61443333333333, '2021-09-09 12:01:15'], [115.7451, 28.61613333333333, '2021-09-09 12:01:30']]",2021-09-09 12:00:45,2021-09-09 12:01:30
144030,507665,"[[115.74511666666666, 28.62153333333333, '2021-09-09 12:02:30'], [115.74511666666666, 28.621983333333333, '2021-09-09 12:02:45']]",2021-09-09 12:02:30,2021-09-09 12:02:45
