stationId,carId,path,start_date_time,end_date_time
129042,508008,"[[115.82215, 28.683516666666662, '2021-09-10 06:41:15'], [115.8213, 28.68326666666667, '2021-09-10 06:41:30']]",2021-09-10 06:41:15,2021-09-10 06:41:30
101919,508008,"[[115.82, 28.682816666666668, '2021-09-10 06:42:00'], [115.81896666666668, 28.682716666666668, '2021-09-10 06:42:15']]",2021-09-10 06:42:00,2021-09-10 06:42:15
129040,508008,"[[115.81581666666666, 28.68345, '2021-09-10 06:43:15'], [115.81468333333332, 28.683716666666665, '2021-09-10 06:43:30']]",2021-09-10 06:43:15,2021-09-10 06:43:30
121003,508008,"[[115.81426666666668, 28.68575, '2021-09-10 06:44:00'], [115.81411666666666, 28.686116666666667, '2021-09-10 06:44:15']]",2021-09-10 06:44:00,2021-09-10 06:44:15
121004,508008,"[[115.81351666666669, 28.68776666666667, '2021-09-10 06:45:30'], [115.8133, 28.68851666666667, '2021-09-10 06:45:45'], [115.81311666666667, 28.68928333333333, '2021-09-10 06:46:00'], [115.81308333333334, 28.68948333333333, '2021-09-10 06:46:15'], [115.8128, 28.69053333333333, '2021-09-10 06:46:30']]",2021-09-10 06:45:30,2021-09-10 06:46:30
121005,508008,"[[115.81195, 28.694016666666663, '2021-09-10 06:47:30'], [115.81196666666666, 28.69493333333333, '2021-09-10 06:47:45']]",2021-09-10 06:47:30,2021-09-10 06:47:45
121006,508008,"[[115.81196666666666, 28.6952, '2021-09-10 06:49:15'], [115.81196666666666, 28.6952, '2021-09-10 06:49:30'], [115.81195, 28.69605, '2021-09-10 06:49:45'], [115.81193333333331, 28.69688333333333, '2021-09-10 06:50:00'], [115.81193333333331, 28.697466666666667, '2021-09-10 06:50:15'], [115.81195, 28.698, '2021-09-10 06:50:30'], [115.81193333333331, 28.698716666666662, '2021-09-10 06:50:45'], [115.81193333333331, 28.69918333333333, '2021-09-10 06:51:00']]",2021-09-10 06:49:15,2021-09-10 06:51:00
121007,508008,"[[115.81468333333332, 28.69996666666667, '2021-09-10 06:53:15'], [115.81441666666667, 28.69996666666667, '2021-09-10 06:53:30']]",2021-09-10 06:53:15,2021-09-10 06:53:30
129042,508008,"[[115.82226666666666, 28.68358333333333, '2021-09-10 11:40:45'], [115.82166666666669, 28.683366666666668, '2021-09-10 11:41:00']]",2021-09-10 11:40:45,2021-09-10 11:41:00
101919,508008,"[[115.81971666666666, 28.682766666666662, '2021-09-10 11:42:00'], [115.81868333333334, 28.682766666666662, '2021-09-10 11:42:15']]",2021-09-10 11:42:00,2021-09-10 11:42:15
129040,508008,"[[115.81595, 28.683416666666663, '2021-09-10 11:43:00'], [115.81485, 28.68368333333333, '2021-09-10 11:43:15']]",2021-09-10 11:43:00,2021-09-10 11:43:15
121003,508008,"[[115.81426666666668, 28.68575, '2021-09-10 11:44:00'], [115.81403333333331, 28.686333333333334, '2021-09-10 11:44:15']]",2021-09-10 11:44:00,2021-09-10 11:44:15
121004,508008,"[[115.81351666666669, 28.687816666666667, '2021-09-10 11:45:30'], [115.81351666666669, 28.687816666666667, '2021-09-10 11:45:45'], [115.81351666666669, 28.687816666666667, '2021-09-10 11:46:00'], [115.81351666666669, 28.687816666666667, '2021-09-10 11:46:15'], [115.81351666666669, 28.687816666666667, '2021-09-10 11:46:30'], [115.8133, 28.688683333333334, '2021-09-10 11:46:45'], [115.81313333333334, 28.689416666666663, '2021-09-10 11:47:00'], [115.81296666666668, 28.68988333333333, '2021-09-10 11:47:15'], [115.81275, 28.690716666666667, '2021-09-10 11:47:30']]",2021-09-10 11:45:30,2021-09-10 11:47:30
121005,508008,"[[115.81216666666668, 28.69303333333333, '2021-09-10 11:48:00'], [115.81196666666666, 28.69415, '2021-09-10 11:48:15']]",2021-09-10 11:48:00,2021-09-10 11:48:15
121006,508008,"[[115.81196666666666, 28.6952, '2021-09-10 11:50:00'], [115.81196666666666, 28.6952, '2021-09-10 11:50:15'], [115.81196666666666, 28.6952, '2021-09-10 11:50:30'], [115.81195, 28.6967, '2021-09-10 11:50:45'], [115.81195, 28.697433333333333, '2021-09-10 11:51:00'], [115.81195, 28.69755, '2021-09-10 11:51:15'], [115.81196666666666, 28.69813333333333, '2021-09-10 11:51:30'], [115.81191666666666, 28.69858333333333, '2021-09-10 11:51:45'], [115.81198333333332, 28.69935, '2021-09-10 11:52:00']]",2021-09-10 11:50:00,2021-09-10 11:52:00
121007,508008,"[[115.8156, 28.7, '2021-09-10 11:54:30'], [115.81456666666666, 28.69995, '2021-09-10 11:54:45']]",2021-09-10 11:54:30,2021-09-10 11:54:45
129042,508008,"[[115.82198333333334, 28.683466666666668, '2021-09-10 13:08:00'], [115.82198333333334, 28.683466666666668, '2021-09-10 13:08:15']]",2021-09-10 13:08:00,2021-09-10 13:08:15
101919,508008,"[[115.81968333333332, 28.68273333333333, '2021-09-10 13:09:45'], [115.81871666666666, 28.682766666666662, '2021-09-10 13:10:00']]",2021-09-10 13:09:45,2021-09-10 13:10:00
129040,508008,"[[115.81605, 28.683416666666663, '2021-09-10 13:11:15'], [115.81511666666668, 28.683616666666666, '2021-09-10 13:11:30']]",2021-09-10 13:11:15,2021-09-10 13:11:30
121003,508008,"[[115.81426666666668, 28.685766666666662, '2021-09-10 13:12:45'], [115.81406666666666, 28.68625, '2021-09-10 13:13:00']]",2021-09-10 13:12:45,2021-09-10 13:13:00
121004,508008,"[[115.81313333333334, 28.689433333333334, '2021-09-10 13:14:00'], [115.813, 28.689816666666665, '2021-09-10 13:14:15']]",2021-09-10 13:14:00,2021-09-10 13:14:15
121005,508008,"[[115.812, 28.693766666666665, '2021-09-10 13:15:15'], [115.81196666666666, 28.694133333333333, '2021-09-10 13:15:30']]",2021-09-10 13:15:15,2021-09-10 13:15:30
121006,508008,"[[115.81196666666666, 28.697766666666663, '2021-09-10 13:17:15'], [115.81196666666666, 28.697766666666663, '2021-09-10 13:17:30'], [115.81195, 28.698633333333333, '2021-09-10 13:17:45'], [115.81198333333332, 28.699416666666668, '2021-09-10 13:18:00']]",2021-09-10 13:17:15,2021-09-10 13:18:00
121007,508008,"[[115.81433333333334, 28.69995, '2021-09-10 13:20:45'], [115.81348333333334, 28.700066666666668, '2021-09-10 13:21:00'], [115.81346666666668, 28.700533333333333, '2021-09-10 13:21:15']]",2021-09-10 13:20:45,2021-09-10 13:21:15
129042,508008,"[[115.82226666666666, 28.68358333333333, '2021-09-10 14:40:30'], [115.82141666666666, 28.683316666666663, '2021-09-10 14:40:45']]",2021-09-10 14:40:30,2021-09-10 14:40:45
101919,508008,"[[115.82015, 28.682866666666666, '2021-09-10 14:42:00'], [115.81925, 28.6827, '2021-09-10 14:42:15']]",2021-09-10 14:42:00,2021-09-10 14:42:15
129040,508008,"[[115.81576666666666, 28.683466666666668, '2021-09-10 14:43:30'], [115.81465, 28.6838, '2021-09-10 14:43:45']]",2021-09-10 14:43:30,2021-09-10 14:43:45
121003,508008,"[[115.81426666666668, 28.685766666666662, '2021-09-10 14:44:15'], [115.81406666666666, 28.68628333333333, '2021-09-10 14:44:30']]",2021-09-10 14:44:15,2021-09-10 14:44:30
121004,508008,"[[115.8136, 28.68768333333333, '2021-09-10 14:45:45'], [115.8136, 28.68768333333333, '2021-09-10 14:46:00'], [115.81338333333332, 28.688366666666667, '2021-09-10 14:46:15'], [115.81313333333334, 28.689433333333334, '2021-09-10 14:46:30'], [115.81301666666668, 28.68978333333333, '2021-09-10 14:46:45'], [115.81275, 28.6908, '2021-09-10 14:47:00']]",2021-09-10 14:45:45,2021-09-10 14:47:00
121005,508008,"[[115.81196666666666, 28.69408333333333, '2021-09-10 14:47:45'], [115.81196666666666, 28.694366666666667, '2021-09-10 14:48:00']]",2021-09-10 14:47:45,2021-09-10 14:48:00
121006,508008,"[[115.81196666666666, 28.6961, '2021-09-10 14:49:30'], [115.81195, 28.69705, '2021-09-10 14:49:45'], [115.81195, 28.69748333333333, '2021-09-10 14:50:00'], [115.81196666666666, 28.69815, '2021-09-10 14:50:15'], [115.81198333333332, 28.69943333333333, '2021-09-10 14:50:30'], [115.81293333333332, 28.6998, '2021-09-10 14:50:45']]",2021-09-10 14:49:30,2021-09-10 14:50:45
121007,508008,"[[115.81538333333332, 28.7, '2021-09-10 14:52:15'], [115.81433333333334, 28.69995, '2021-09-10 14:52:30']]",2021-09-10 14:52:15,2021-09-10 14:52:30
129042,508008,"[[115.82226666666666, 28.68358333333333, '2021-09-10 16:12:00'], [115.82155, 28.68335, '2021-09-10 16:12:15']]",2021-09-10 16:12:00,2021-09-10 16:12:15
101919,508008,"[[115.81951666666669, 28.68273333333333, '2021-09-10 16:13:15'], [115.81895, 28.68275, '2021-09-10 16:13:30']]",2021-09-10 16:13:15,2021-09-10 16:13:30
129040,508008,"[[115.81605, 28.683416666666663, '2021-09-10 16:14:30'], [115.81511666666668, 28.683616666666666, '2021-09-10 16:14:45']]",2021-09-10 16:14:30,2021-09-10 16:14:45
121003,508008,"[[115.81426666666668, 28.685766666666662, '2021-09-10 16:15:45'], [115.81411666666666, 28.68613333333333, '2021-09-10 16:16:00']]",2021-09-10 16:15:45,2021-09-10 16:16:00
121004,508008,"[[115.81358333333333, 28.68765, '2021-09-10 16:17:15'], [115.81358333333333, 28.68765, '2021-09-10 16:17:30'], [115.81358333333333, 28.68765, '2021-09-10 16:17:45'], [115.81346666666668, 28.68798333333333, '2021-09-10 16:18:00'], [115.81331666666668, 28.68851666666667, '2021-09-10 16:18:15'], [115.81313333333334, 28.68923333333333, '2021-09-10 16:18:30'], [115.8131, 28.68945, '2021-09-10 16:18:45']]",2021-09-10 16:17:15,2021-09-10 16:18:45
121005,508008,"[[115.81196666666666, 28.693816666666667, '2021-09-10 16:20:00'], [115.81195, 28.694016666666663, '2021-09-10 16:20:15']]",2021-09-10 16:20:00,2021-09-10 16:20:15
121006,508008,"[[115.81193333333331, 28.6959, '2021-09-10 16:22:00'], [115.81193333333331, 28.697233333333333, '2021-09-10 16:22:15'], [115.81193333333331, 28.697366666666667, '2021-09-10 16:22:30'], [115.81195, 28.69805, '2021-09-10 16:22:45'], [115.81193333333331, 28.698616666666663, '2021-09-10 16:23:00'], [115.81198333333332, 28.69945, '2021-09-10 16:23:15']]",2021-09-10 16:22:00,2021-09-10 16:23:15
121007,508008,"[[115.8176, 28.70005, '2021-09-10 16:26:15'], [115.8164, 28.700033333333334, '2021-09-10 16:26:30'], [115.81436666666669, 28.69996666666667, '2021-09-10 16:26:45'], [115.81346666666668, 28.700166666666668, '2021-09-10 16:27:00'], [115.81346666666668, 28.7005, '2021-09-10 16:27:15'], [115.81375, 28.70123333333333, '2021-09-10 16:27:30'], [115.81496666666666, 28.7013, '2021-09-10 16:27:45'], [115.81528333333333, 28.701283333333333, '2021-09-10 16:28:00']]",2021-09-10 16:26:15,2021-09-10 16:28:00
129042,508008,"[[115.82241666666668, 28.683766666666667, '2021-09-10 17:12:30'], [115.82178333333331, 28.6834, '2021-09-10 17:12:45']]",2021-09-10 17:12:30,2021-09-10 17:12:45
101919,508008,"[[115.8199, 28.6828, '2021-09-10 17:14:00'], [115.81921666666666, 28.6827, '2021-09-10 17:14:15']]",2021-09-10 17:14:00,2021-09-10 17:14:15
129040,508008,"[[115.816, 28.683416666666663, '2021-09-10 17:15:30'], [115.815, 28.68365, '2021-09-10 17:15:45']]",2021-09-10 17:15:30,2021-09-10 17:15:45
121003,508008,"[[115.81426666666668, 28.685766666666662, '2021-09-10 17:16:15'], [115.81406666666666, 28.68625, '2021-09-10 17:16:30']]",2021-09-10 17:16:15,2021-09-10 17:16:30
121004,508008,"[[115.81351666666669, 28.68775, '2021-09-10 17:17:45'], [115.81351666666669, 28.68775, '2021-09-10 17:18:00'], [115.81346666666668, 28.688, '2021-09-10 17:18:15'], [115.8133, 28.68863333333333, '2021-09-10 17:18:30'], [115.81313333333334, 28.68938333333333, '2021-09-10 17:18:45'], [115.8131, 28.689433333333334, '2021-09-10 17:19:00']]",2021-09-10 17:17:45,2021-09-10 17:19:00
