stationId,carId,path,start_date_time,end_date_time
104757,508736,"[[115.99001666666666, 28.632166666666667, '2021-09-08 17:59:00'], [115.99013333333332, 28.632, '2021-09-08 17:59:15'], [115.99011666666668, 28.632, '2021-09-08 17:59:30'], [115.99011666666668, 28.632, '2021-09-08 17:59:45'], [115.99043333333331, 28.631616666666662, '2021-09-08 18:00:00']]",2021-09-08 17:59:00,2021-09-08 18:00:00
104758,508736,"[[115.9912, 28.62855, '2021-09-08 18:01:30'], [115.9912, 28.62855, '2021-09-08 18:01:45'], [115.99105, 28.628, '2021-09-08 18:02:00'], [115.99088333333331, 28.6276, '2021-09-08 18:02:15']]",2021-09-08 18:01:30,2021-09-08 18:02:15
104759,508736,"[[115.98888333333332, 28.62451666666667, '2021-09-08 18:03:15'], [115.9887, 28.624166666666667, '2021-09-08 18:03:30']]",2021-09-08 18:03:15,2021-09-08 18:03:30
109142,508736,"[[115.98846666666668, 28.6199, '2021-09-08 18:05:00'], [115.98855, 28.619366666666668, '2021-09-08 18:05:15']]",2021-09-08 18:05:00,2021-09-08 18:05:15
109143,508736,"[[115.99371666666669, 28.61103333333333, '2021-09-08 18:08:45'], [115.99408333333334, 28.6105, '2021-09-08 18:09:00']]",2021-09-08 18:08:45,2021-09-08 18:09:00
104757,508736,"[[115.9901, 28.63205, '2021-09-12 10:58:45'], [115.99015, 28.63198333333333, '2021-09-12 10:59:00'], [115.99015, 28.63198333333333, '2021-09-12 10:59:15'], [115.99015, 28.63198333333333, '2021-09-12 10:59:30'], [115.99051666666666, 28.631533333333334, '2021-09-12 10:59:45']]",2021-09-12 10:58:45,2021-09-12 10:59:45
104758,508736,"[[115.99118333333334, 28.62855, '2021-09-12 11:01:00'], [115.9912, 28.62855, '2021-09-12 11:01:15'], [115.9912, 28.62855, '2021-09-12 11:01:30'], [115.99106666666668, 28.62803333333333, '2021-09-12 11:01:45'], [115.99076666666669, 28.62735, '2021-09-12 11:02:00']]",2021-09-12 11:01:00,2021-09-12 11:02:00
104759,508736,"[[115.98893333333334, 28.624566666666663, '2021-09-12 11:03:00'], [115.98871666666666, 28.62408333333333, '2021-09-12 11:03:15']]",2021-09-12 11:03:00,2021-09-12 11:03:15
109142,508736,"[[115.98848333333332, 28.61985, '2021-09-12 11:04:30'], [115.98856666666669, 28.6194, '2021-09-12 11:04:45']]",2021-09-12 11:04:30,2021-09-12 11:04:45
109143,508736,"[[115.99383333333331, 28.610883333333334, '2021-09-12 11:07:45'], [115.99383333333331, 28.610883333333334, '2021-09-12 11:08:00']]",2021-09-12 11:07:45,2021-09-12 11:08:00
104757,508736,"[[115.98993333333334, 28.632283333333334, '2021-09-12 12:58:45'], [115.99015, 28.631966666666667, '2021-09-12 12:59:00'], [115.99015, 28.631966666666667, '2021-09-12 12:59:15'], [115.99015, 28.631966666666667, '2021-09-12 12:59:30'], [115.99051666666666, 28.63155, '2021-09-12 12:59:45']]",2021-09-12 12:58:45,2021-09-12 12:59:45
104758,508736,"[[115.99118333333334, 28.62848333333333, '2021-09-12 13:01:15'], [115.99103333333332, 28.628016666666667, '2021-09-12 13:01:30']]",2021-09-12 13:01:15,2021-09-12 13:01:30
104759,508736,"[[115.98888333333332, 28.6245, '2021-09-12 13:02:45'], [115.98871666666666, 28.624133333333333, '2021-09-12 13:03:00']]",2021-09-12 13:02:45,2021-09-12 13:03:00
109142,508736,"[[115.98848333333332, 28.61988333333333, '2021-09-12 13:04:30'], [115.98855, 28.6194, '2021-09-12 13:04:45'], [115.98886666666668, 28.618816666666667, '2021-09-12 13:05:00']]",2021-09-12 13:04:30,2021-09-12 13:05:00
109143,508736,"[[115.99381666666666, 28.610883333333334, '2021-09-12 13:09:15'], [115.9944, 28.61003333333333, '2021-09-12 13:09:30']]",2021-09-12 13:09:15,2021-09-12 13:09:30
104757,508736,"[[115.9901, 28.63205, '2021-09-12 14:59:00'], [115.99016666666668, 28.631966666666667, '2021-09-12 14:59:15'], [115.99016666666668, 28.631966666666667, '2021-09-12 14:59:30'], [115.99041666666666, 28.631666666666668, '2021-09-12 14:59:45']]",2021-09-12 14:59:00,2021-09-12 14:59:45
104758,508736,"[[115.99121666666667, 28.62855, '2021-09-12 15:01:30'], [115.99121666666667, 28.62855, '2021-09-12 15:01:45'], [115.99106666666668, 28.627983333333333, '2021-09-12 15:02:00'], [115.99081666666666, 28.627366666666667, '2021-09-12 15:02:15']]",2021-09-12 15:01:30,2021-09-12 15:02:15
104759,508736,"[[115.98891666666668, 28.624566666666663, '2021-09-12 15:03:15'], [115.98891666666668, 28.624566666666663, '2021-09-12 15:03:30']]",2021-09-12 15:03:15,2021-09-12 15:03:30
109142,508736,"[[115.98848333333332, 28.61983333333333, '2021-09-12 15:05:00'], [115.98856666666669, 28.61938333333333, '2021-09-12 15:05:15']]",2021-09-12 15:05:00,2021-09-12 15:05:15
109143,508736,"[[115.99381666666666, 28.6109, '2021-09-12 15:08:30'], [115.99391666666666, 28.61073333333333, '2021-09-12 15:08:45']]",2021-09-12 15:08:30,2021-09-12 15:08:45
104757,508736,"[[115.9898, 28.63225, '2021-09-12 16:19:00'], [115.99015, 28.631966666666667, '2021-09-12 16:19:30'], [115.99051666666666, 28.6315, '2021-09-12 16:20:00']]",2021-09-12 16:19:00,2021-09-12 16:20:00
104758,508736,"[[115.99118333333334, 28.628466666666668, '2021-09-12 16:25:15'], [115.991, 28.627916666666668, '2021-09-12 16:25:30']]",2021-09-12 16:25:15,2021-09-12 16:25:30
104759,508736,"[[115.9889, 28.62453333333333, '2021-09-12 16:26:30'], [115.98865, 28.62343333333333, '2021-09-12 16:26:45']]",2021-09-12 16:26:30,2021-09-12 16:26:45
109142,508736,"[[115.98845, 28.619916666666665, '2021-09-12 16:27:45'], [115.98855, 28.61935, '2021-09-12 16:28:00']]",2021-09-12 16:27:45,2021-09-12 16:28:00
109143,508736,"[[115.99383333333331, 28.61085, '2021-09-12 16:30:30'], [115.99408333333334, 28.61048333333333, '2021-09-12 16:30:45']]",2021-09-12 16:30:30,2021-09-12 16:30:45
104757,508736,"[[115.99003333333332, 28.63211666666667, '2021-09-12 17:59:15'], [115.99013333333332, 28.631966666666667, '2021-09-12 17:59:30'], [115.99013333333332, 28.631966666666667, '2021-09-12 17:59:45'], [115.9905, 28.631516666666663, '2021-09-12 18:00:00']]",2021-09-12 17:59:15,2021-09-12 18:00:00
104758,508736,"[[115.99118333333334, 28.62848333333333, '2021-09-12 18:01:15'], [115.99118333333334, 28.628466666666668, '2021-09-12 18:01:30']]",2021-09-12 18:01:15,2021-09-12 18:01:30
104759,508736,"[[115.98888333333332, 28.62453333333333, '2021-09-12 18:03:15'], [115.9887, 28.62415, '2021-09-12 18:03:30']]",2021-09-12 18:03:15,2021-09-12 18:03:30
109142,508736,"[[115.98848333333332, 28.619866666666667, '2021-09-12 18:04:45'], [115.98851666666668, 28.61955, '2021-09-12 18:05:00']]",2021-09-12 18:04:45,2021-09-12 18:05:00
