station_id,station_name,lng,lat
134080,上行虚拟限速点上昌南大道,115.967224,28.596309
134081,上行虚拟限速点下昌南大道,115.894971,28.612067
111705,上陈家村,115.88771,28.452749
145166,下万,116.059258,28.751642
2472,下埠集农贸市场,116.381474,28.312603
133810,下官塘,115.919228,28.322356
108968,下尾村,116.103169,28.772409
145208,下尾村南,116.101498,28.75717
106375,下尾路口,116.108677,28.759319
108248,下山观,115.693185,28.661464
105373,下房自然村,116.084355399065,28.8069623103369
105265,下杨村,116.056353462001,28.8201739951767
120991,下沙冈,116.126906078071,28.6482100484448
142482,下沙窝,115.892614,28.698711
110937,下涂家,115.997650296865,28.4578737078764
120591,下满滩,115.869698252684,28.4406689279775
115999,下罗,115.845698,28.738283
122575,下罗,116.094314,28.585314
116002,下罗北,115.8456254,28.74386585
135851,下罗新村北门,115.851701,28.740504
143145,下罗西,115.843932,28.739698
122723,下行4,115.884915,28.836994
122724,下行5,115.868977,28.839993
145558,下行昌南大道段虚拟限速,115.978369,28.592999
122786,下行第一,115.906478,28.851505
134083,下行虚拟限速点上昌南大道,115.894208,28.611279
134084,下行虚拟限速点下昌南大道,115.966411,28.595216
139120,下邓新村,115.904783,28.593805
111703,下陈家村口,115.894095,28.463674
112654,下饶村,115.994071236864,28.3544734281846
105377,世砚自然村,116.113344469759,28.8199992584016
119033,世纪华联购物广场,115.827623,28.951363
145002,世贸路沙井路口,115.838567,28.691015
102223,世贸路红谷大道口,115.848867341059,28.6869731249275
141896,东升北大道天水路口,115.969361,28.655126
3409,东升北大道天香东路口,115.968255,28.65182
141897,东升北大道天香二路口,115.967119,28.648487
121786,东升大道朱桥东路口,115.96113256232,28.6114579051586
121888,东升大道石桥路口,115.96309,28.638932
121885,东升大道罗城路口,115.962572,28.624074
144459,东升大道胡家路口,115.960879,28.608949
143449,东华大道沈桥路口,115.957227621632,28.64239994667096
112332,东华理工,115.825238,28.724523
113199,东华理工西门,115.819303,28.725322
134587,东和村（昌九大道站）,115.874406,28.946444
144728,东城李家东,115.760475,28.596034
144727,东城李家西,115.75668,28.599197
134022,东外环高架,115.883609,28.53217
109359,东岗村委会,116.220912,28.688025
113181,东岳大道东口,115.889485,28.594452
143233,东岳大道东新二路口,115.865919,28.592793
143235,东岳大道东祥路口,115.842442,28.59376
143232,东岳大道诚义路口,115.873168,28.592847
138786,东岳大道金沙二路口,115.881225,28.592612
103374,东岳村,115.839446,28.591611
112723,东文大桥,116.085349,28.291772
113026,东新一路北口,115.86785,28.607334
141280,东新一路南口,115.866543,28.602382
108468,东新乡政府,115.845028057437,28.6069278263283
113024,东新二路南口,115.861677,28.603649
