sectionId,carId,path,start_date_time,end_date_time
135_up1,165127,"[[115.8537, 28.705916666666667, '2021-09-09 06:16:30'], [115.85428333333331, 28.704933333333333, '2021-09-09 06:16:45'], [115.8549, 28.70395, '2021-09-09 06:17:00'], [115.85545, 28.70303333333333, '2021-09-09 06:17:15'], [115.85565, 28.7027, '2021-09-09 06:17:30'], [115.85565, 28.702683333333333, '2021-09-09 06:17:45'], [115.85565, 28.702683333333333, '2021-09-09 06:18:00'], [115.8566, 28.702616666666668, '2021-09-09 06:18:15'], [115.85748333333332, 28.703116666666663, '2021-09-09 06:18:30'], [115.85788333333332, 28.703316666666662, '2021-09-09 06:18:45'], [115.85845, 28.703616666666665, '2021-09-09 06:19:00']]",2021-09-09 06:16:30,2021-09-09 06:19:00
135_up2,165127,"[[115.86013333333334, 28.7045, '2021-09-09 06:19:30'], [115.86023333333333, 28.70518333333333, '2021-09-09 06:19:45'], [115.85916666666668, 28.706266666666668, '2021-09-09 06:20:00']]",2021-09-09 06:19:30,2021-09-09 06:20:00
135_up3,165127,"[[115.85873333333332, 28.7067, '2021-09-09 06:20:30'], [115.85795, 28.70753333333333, '2021-09-09 06:20:45'], [115.85765, 28.707816666666663, '2021-09-09 06:21:00'], [115.85701666666668, 28.7085, '2021-09-09 06:21:15'], [115.85606666666666, 28.709466666666668, '2021-09-09 06:21:30'], [115.8551, 28.71043333333333, '2021-09-09 06:21:45'], [115.8542, 28.71125, '2021-09-09 06:22:00']]",2021-09-09 06:20:30,2021-09-09 06:22:00
135_up4,165127,"[[115.85305, 28.712216666666663, '2021-09-09 06:22:30'], [115.85271666666668, 28.71248333333333, '2021-09-09 06:22:45'], [115.85196666666668, 28.713083333333334, '2021-09-09 06:23:00'], [115.85108333333334, 28.713816666666663, '2021-09-09 06:23:15'], [115.85, 28.71475, '2021-09-09 06:23:30'], [115.8489, 28.715666666666667, '2021-09-09 06:23:45'], [115.84776666666669, 28.71665, '2021-09-09 06:24:00'], [115.84685, 28.717466666666667, '2021-09-09 06:24:15'], [115.84596666666668, 28.71858333333333, '2021-09-09 06:24:30']]",2021-09-09 06:22:30,2021-09-09 06:24:30
135_up6,165127,"[[115.84485, 28.720133333333333, '2021-09-09 06:25:15'], [115.84485, 28.720133333333333, '2021-09-09 06:25:30'], [115.84418333333332, 28.721, '2021-09-09 06:25:45'], [115.84383333333334, 28.72195, '2021-09-09 06:26:00'], [115.84381666666668, 28.72268333333333, '2021-09-09 06:26:15'], [115.84383333333334, 28.72278333333333, '2021-09-09 06:26:30'], [115.84383333333334, 28.72278333333333, '2021-09-09 06:26:45'], [115.8433, 28.72438333333333, '2021-09-09 06:27:00'], [115.84301666666668, 28.72638333333333, '2021-09-09 06:27:15'], [115.84285, 28.729066666666668, '2021-09-09 06:27:30'], [115.84268333333333, 28.73195, '2021-09-09 06:27:45'], [115.84255, 28.734783333333333, '2021-09-09 06:28:00'], [115.84285, 28.73753333333333, '2021-09-09 06:28:15'], [115.8437, 28.740133333333333, '2021-09-09 06:28:30'], [115.84473333333334, 28.74266666666667, '2021-09-09 06:28:45'], [115.84575, 28.74525, '2021-09-09 06:29:00'], [115.84626666666666, 28.748, '2021-09-09 06:29:15'], [115.84615, 28.75101666666667, '2021-09-09 06:29:30'], [115.84555, 28.75398333333333, '2021-09-09 06:29:45'], [115.84505, 28.756833333333333, '2021-09-09 06:30:00'], [115.84493333333332, 28.7596, '2021-09-09 06:30:15'], [115.84515, 28.76238333333333, '2021-09-09 06:30:30'], [115.84543333333332, 28.7651, '2021-09-09 06:30:45'], [115.84545, 28.767866666666663, '2021-09-09 06:31:00'], [115.8451, 28.77038333333333, '2021-09-09 06:31:15'], [115.84451666666666, 28.772883333333333, '2021-09-09 06:31:30'], [115.84405, 28.77541666666667, '2021-09-09 06:31:45'], [115.84393333333334, 28.778116666666666, '2021-09-09 06:32:00'], [115.84413333333332, 28.7809, '2021-09-09 06:32:15'], [115.84463333333332, 28.78378333333333, '2021-09-09 06:32:30'], [115.84511666666668, 28.786583333333333, '2021-09-09 06:32:45'], [115.84566666666667, 28.789466666666662, '2021-09-09 06:33:00'], [115.84615, 28.79208333333333, '2021-09-09 06:33:15'], [115.84668333333332, 28.79443333333333, '2021-09-09 06:33:30'], [115.84711666666666, 28.79625, '2021-09-09 06:33:45']]",2021-09-09 06:25:15,2021-09-09 06:33:45
135_up7,165127,"[[115.8483, 28.798716666666667, '2021-09-09 06:34:15'], [115.8493, 28.80075, '2021-09-09 06:34:30'], [115.85055, 28.803066666666663, '2021-09-09 06:34:45'], [115.85193333333332, 28.805466666666668, '2021-09-09 06:35:00'], [115.85358333333332, 28.8081, '2021-09-09 06:35:15'], [115.85521666666666, 28.8107, '2021-09-09 06:35:30'], [115.8568, 28.813216666666666, '2021-09-09 06:35:45'], [115.85831666666668, 28.81568333333333, '2021-09-09 06:36:00'], [115.8598, 28.81805, '2021-09-09 06:36:15'], [115.86135, 28.820516666666663, '2021-09-09 06:36:30'], [115.86285, 28.822916666666668, '2021-09-09 06:36:45'], [115.8642, 28.82535, '2021-09-09 06:37:00'], [115.8654, 28.82798333333333, '2021-09-09 06:37:15']]",2021-09-09 06:34:15,2021-09-09 06:37:15
135_up8,165127,"[[115.86756666666666, 28.836483333333334, '2021-09-09 06:37:45'], [115.86773333333332, 28.839466666666667, '2021-09-09 06:38:00'], [115.86768333333332, 28.842366666666667, '2021-09-09 06:38:15'], [115.86735, 28.84528333333333, '2021-09-09 06:38:30'], [115.86673333333331, 28.84815, '2021-09-09 06:38:45'], [115.86585, 28.851066666666668, '2021-09-09 06:39:00'], [115.8647, 28.8539, '2021-09-09 06:39:15'], [115.86333333333332, 28.8566, '2021-09-09 06:39:30'], [115.86176666666668, 28.85925, '2021-09-09 06:39:45'], [115.8602, 28.8619, '2021-09-09 06:40:00'], [115.8586, 28.8646, '2021-09-09 06:40:15'], [115.85698333333332, 28.867283333333333, '2021-09-09 06:40:30'], [115.85538333333334, 28.870016666666668, '2021-09-09 06:40:45'], [115.85378333333334, 28.872666666666667, '2021-09-09 06:41:00'], [115.8522, 28.875333333333334, '2021-09-09 06:41:15'], [115.8506, 28.878066666666665, '2021-09-09 06:41:30'], [115.84903333333334, 28.880783333333333, '2021-09-09 06:41:45'], [115.84745, 28.883416666666665, '2021-09-09 06:42:00'], [115.84586666666668, 28.88588333333333, '2021-09-09 06:42:15'], [115.84413333333332, 28.88845, '2021-09-09 06:42:30'], [115.84225, 28.891, '2021-09-09 06:42:45'], [115.84028333333332, 28.8935, '2021-09-09 06:43:00'], [115.83841666666666, 28.89588333333333, '2021-09-09 06:43:15'], [115.83666666666667, 28.89808333333333, '2021-09-09 06:43:30'], [115.83506666666666, 28.90015, '2021-09-09 06:43:45'], [115.83373333333331, 28.902116666666668, '2021-09-09 06:44:00'], [115.83411666666667, 28.904116666666667, '2021-09-09 06:44:15'], [115.83515, 28.90563333333333, '2021-09-09 06:44:30'], [115.8355, 28.90693333333333, '2021-09-09 06:44:45'], [115.83533333333334, 28.909033333333333, '2021-09-09 06:45:00'], [115.83426666666666, 28.91098333333333, '2021-09-09 06:45:15'], [115.83321666666669, 28.912433333333333, '2021-09-09 06:45:30'], [115.8321, 28.91388333333333, '2021-09-09 06:45:45'], [115.83173333333332, 28.91445, '2021-09-09 06:46:00'], [115.83151666666669, 28.914716666666667, '2021-09-09 06:46:15'], [115.83055, 28.915966666666662, '2021-09-09 06:46:30'], [115.82941666666666, 28.917566666666666, '2021-09-09 06:46:45'], [115.82845, 28.919416666666667, '2021-09-09 06:47:00']]",2021-09-09 06:37:45,2021-09-09 06:47:00
135_up9,165127,"[[115.82746666666668, 28.922016666666668, '2021-09-09 06:47:30'], [115.82681666666667, 28.923716666666667, '2021-09-09 06:47:45'], [115.82583333333334, 28.926266666666667, '2021-09-09 06:48:00']]",2021-09-09 06:47:30,2021-09-09 06:48:00
135_up10,165127,"[[115.8276, 28.92775, '2021-09-09 06:48:30'], [115.82891666666669, 28.9282, '2021-09-09 06:48:45'], [115.8326, 28.9293, '2021-09-09 06:49:00'], [115.83436666666668, 28.9299, '2021-09-09 06:49:15'], [115.83625, 28.93048333333333, '2021-09-09 06:49:30'], [115.83805, 28.93103333333333, '2021-09-09 06:49:45'], [115.83966666666667, 28.93153333333333, '2021-09-09 06:50:00'], [115.84148333333331, 28.932133333333333, '2021-09-09 06:50:15']]",2021-09-09 06:48:30,2021-09-09 06:50:15
135_up11,165127,"[[115.8418, 28.933733333333333, '2021-09-09 06:50:45'], [115.84143333333331, 28.934483333333333, '2021-09-09 06:51:00'], [115.84115, 28.935016666666662, '2021-09-09 06:51:15'], [115.84055, 28.93615, '2021-09-09 06:51:30'], [115.8397, 28.937416666666667, '2021-09-09 06:51:45'], [115.8389, 28.938566666666667, '2021-09-09 06:52:00'], [115.83798333333333, 28.93928333333333, '2021-09-09 06:52:15'], [115.83621666666669, 28.93948333333333, '2021-09-09 06:52:30'], [115.8345, 28.93965, '2021-09-09 06:52:45'], [115.83235, 28.93988333333333, '2021-09-09 06:53:00']]",2021-09-09 06:50:45,2021-09-09 06:53:00
