sectionId,carId,path,start_date_time,end_date_time
806_up0,508776,"[[115.94043333333332, 28.55208333333333, '2021-09-09 14:56:45'], [115.94038333333332, 28.5521, '2021-09-09 14:57:00'], [115.94038333333332, 28.5521, '2021-09-09 14:57:15'], [115.94038333333332, 28.5521, '2021-09-09 14:57:30'], [115.94038333333332, 28.5521, '2021-09-09 14:57:45'], [115.94038333333332, 28.5521, '2021-09-09 14:58:00'], [115.94038333333332, 28.5521, '2021-09-09 14:58:15'], [115.94038333333332, 28.5521, '2021-09-09 14:58:30'], [115.94038333333332, 28.5521, '2021-09-09 14:58:45'], [115.94036666666666, 28.552116666666667, '2021-09-09 14:59:00'], [115.94036666666666, 28.552116666666667, '2021-09-09 14:59:15'], [115.94023333333334, 28.552266666666668, '2021-09-09 14:59:30'], [115.93968333333332, 28.55235, '2021-09-09 14:59:45'], [115.93873333333332, 28.55238333333333, '2021-09-09 15:00:00'], [115.93753333333332, 28.5524, '2021-09-09 15:00:15'], [115.93651666666666, 28.55245, '2021-09-09 15:00:30'], [115.93506666666669, 28.5525, '2021-09-09 15:00:45'], [115.93426666666667, 28.552533333333333, '2021-09-09 15:01:00']]",2021-09-09 14:56:45,2021-09-09 15:01:00
806_up1,508776,"[[115.93355, 28.5531, '2021-09-09 15:01:30'], [115.93336666666669, 28.5541, '2021-09-09 15:01:45'], [115.93328333333334, 28.5546, '2021-09-09 15:02:00'], [115.93328333333334, 28.5546, '2021-09-09 15:02:15'], [115.93316666666666, 28.5554, '2021-09-09 15:02:30'], [115.93305, 28.556083333333333, '2021-09-09 15:02:45'], [115.93296666666669, 28.55643333333333, '2021-09-09 15:03:00'], [115.93286666666668, 28.557, '2021-09-09 15:03:15'], [115.93268333333332, 28.557866666666666, '2021-09-09 15:03:30'], [115.93256666666667, 28.558516666666662, '2021-09-09 15:03:45'], [115.93248333333334, 28.55895, '2021-09-09 15:04:00']]",2021-09-09 15:01:30,2021-09-09 15:04:00
806_up2,508776,"[[115.93231666666668, 28.55976666666667, '2021-09-09 15:04:30'], [115.93206666666669, 28.5605, '2021-09-09 15:04:45'], [115.93193333333332, 28.56128333333333, '2021-09-09 15:05:00'], [115.93185, 28.561566666666668, '2021-09-09 15:05:15'], [115.9317, 28.5622, '2021-09-09 15:05:30'], [115.93068333333332, 28.562516666666667, '2021-09-09 15:05:45'], [115.92893333333332, 28.56245, '2021-09-09 15:06:00'], [115.9282, 28.56245, '2021-09-09 15:06:15']]",2021-09-09 15:04:30,2021-09-09 15:06:15
806_up3,508776,"[[115.92721666666668, 28.562166666666663, '2021-09-09 15:06:45'], [115.92725, 28.561016666666667, '2021-09-09 15:07:00'], [115.9267, 28.560166666666667, '2021-09-09 15:07:15'], [115.9253, 28.560133333333333, '2021-09-09 15:07:30'], [115.92488333333333, 28.560133333333333, '2021-09-09 15:07:45'], [115.92406666666666, 28.560316666666665, '2021-09-09 15:08:00'], [115.92375, 28.561433333333333, '2021-09-09 15:08:15'], [115.92366666666666, 28.5618, '2021-09-09 15:08:30']]",2021-09-09 15:06:45,2021-09-09 15:08:30
806_up4,508776,"[[115.92323333333331, 28.56353333333333, '2021-09-09 15:09:00']]",2021-09-09 15:09:00,2021-09-09 15:09:00
806_up5,508776,"[[115.92253333333332, 28.56628333333333, '2021-09-09 15:09:30'], [115.9224, 28.566966666666666, '2021-09-09 15:09:45']]",2021-09-09 15:09:30,2021-09-09 15:09:45
806_up6,508776,"[[115.92195, 28.568366666666662, '2021-09-09 15:10:15'], [115.92073333333332, 28.56853333333333, '2021-09-09 15:10:30'], [115.9192, 28.56853333333333, '2021-09-09 15:10:45'], [115.9174, 28.568566666666666, '2021-09-09 15:11:00'], [115.91668333333334, 28.568583333333333, '2021-09-09 15:11:15']]",2021-09-09 15:10:15,2021-09-09 15:11:15
806_up7,508776,"[[115.9157, 28.5685, '2021-09-09 15:11:45'], [115.91573333333334, 28.567716666666666, '2021-09-09 15:12:00'], [115.91603333333332, 28.56648333333333, '2021-09-09 15:12:15'], [115.91621666666668, 28.56565, '2021-09-09 15:12:30'], [115.91625, 28.565516666666667, '2021-09-09 15:12:45'], [115.9164, 28.564916666666665, '2021-09-09 15:13:00'], [115.9167, 28.563666666666663, '2021-09-09 15:13:15'], [115.91696666666668, 28.5625, '2021-09-09 15:13:30']]",2021-09-09 15:11:45,2021-09-09 15:13:30
806_up8,508776,"[[115.91746666666668, 28.56048333333333, '2021-09-09 15:14:00'], [115.91756666666669, 28.56008333333333, '2021-09-09 15:14:15'], [115.91781666666668, 28.55923333333333, '2021-09-09 15:14:30'], [115.91803333333333, 28.55868333333333, '2021-09-09 15:14:45']]",2021-09-09 15:14:00,2021-09-09 15:14:45
806_up9,508776,"[[115.91861666666668, 28.5574, '2021-09-09 15:15:15'], [115.91905, 28.5564, '2021-09-09 15:15:30'], [115.91935, 28.555666666666667, '2021-09-09 15:15:45'], [115.91966666666669, 28.55493333333333, '2021-09-09 15:16:00']]",2021-09-09 15:15:15,2021-09-09 15:16:00
