route_name,route_id,isUporDown
252路,252,上行
252路,252,下行
877路,877,上行
877路,877,下行
558路,558,上行
558路,558,下行
168路,168,上行
168路,168,下行
4路,4,上行
4路,4,下行
261路,261,上行
261路,261,下行
2116路,2116,上行
2116路,2116,下行
511路,511,上行
511路,511,下行
6247路,6247,上行
6247路,6247,下行
6025路,6025,上行
6025路,6025,下行
6014路,6014,上行
6014路,6014,下行
17路,17,上行
17路,17,下行
308路长班红壤,1308,上行
308路长班红壤,1308,下行
6238路,6238,上行
6238路,6238,下行
509路,509,上行
509路,509,下行
204路,204,上行
204路,204,下行
585路,585,上行
585路,585,下行
1302路,1302,上行
1302路,1302,下行
211区间,211Q,上行
211区间,211Q,下行
C61路,5061,上行
C61路,5061,下行
337路义陇,337,上行
337路义陇,337,下行
C43路,5043,上行
C43路,5043,下行
C44路,5044,上行
C44路,5044,下行
828路,828,上行
828路,828,下行
263路,263,上行
263路,263,下行
C1路,5001,上行
C1路,5001,下行
6134路,6134,上行
6134路,6134,下行
C45路,5045,上行
C45路,5045,下行
885路,885,上行
885路,885,下行
机场5线,609,上行
机场5线,609,下行
6241路,6241,上行
6241路,6241,下行
178路,178,上行
178路,178,下行
C48路,5048,上行
C48路,5048,下行
157路,157,上行
157路,157,下行
6288路,6288,上行
6288路,6288,下行
6227路,6227,上行
6227路,6227,下行
6248路,6248,上行
6248路,6248,下行
235路快线,711,上行
235路快线,711,下行
214区间,1214,上行
214区间,1214,下行
6255路,6255,上行
6255路,6255,下行
6239路,6239,上行
6239路,6239,下行
C46路,5046,上行
C46路,5046,下行
6252路,6252,上行
6252路,6252,下行
2319路,2319,上行
2319路,2319,下行
302路,302,上行
302路,302,下行
1343路新富村线,1343,上行
1343路新富村线,1343,下行
6237路,6237,上行
6237路,6237,下行
6224路,6224,上行
6224路,6224,下行
C30路,5030,上行
C30路,5030,下行
C59路,5059,上行
C59路,5059,下行
6317路,6317,上行
6317路,6317,下行
6240路,6240,上行
6240路,6240,下行
6253路,6253,上行
6253路,6253,下行
158路,158,上行
158路,158,下行
C42路,5042,上行
C42路,5042,下行
6235路,6235,上行
6235路,6235,下行
6236路,6236,上行
6236路,6236,下行
127路,127,上行
127路,127,下行
106路,106,上行
106路,106,下行
512路,512,上行
512路,512,下行
C33路,5033,上行
C33路,5033,下行
825路,825,上行
825路,825,下行
843路,843,上行
843路,843,下行
