route_Id,station_Id
101,102425
101,1037
101,102422
101,1043
101,102420
101,3044
101,178
101,129039
101,129039
101,178
101,253
101,142181
101,261
101,263
101,471
101,473
101,2189
101,102420
101,1043
101,102422
101,102424
101,102425
101,102426
103,1045
103,1161
103,1159
103,101511
103,101510
103,101509
103,101508
103,101507
103,1047
103,101506
103,1045
103,102425
103,102423
103,102421
103,1043
103,102420
103,3044
103,473
103,259
103,257
103,253
103,178
103,129039
103,129039
103,101921
103,253
103,142181
103,259
103,261
103,3044
103,102420
103,1043
103,102423
103,102424
103,1045
103,1047
103,121098
103,121097
103,121096
103,101507
103,101508
103,121094
103,101510
103,101511
103,1159
103,1161
103,121089
103,121088
103,121087
103,1045
105Q,101944
105Q,1141
105Q,101943
105Q,108234
105Q,108233
105Q,108232
105Q,108231
105Q,108230
105Q,108229
105Q,1076
105Q,108228
105Q,108227
105Q,108226
105Q,1080
105Q,622
105Q,676
105Q,108221
105Q,108220
105Q,692
105Q,108219
105Q,617
105Q,108218
105Q,682
105Q,108217
105Q,644
105Q,101926
105Q,101925
105Q,265
105Q,101924
105Q,255
105Q,100792
105Q,101922
105Q,811
105Q,253
105Q,101921
105Q,178
105Q,102417
105Q,176
105Q,129040
105Q,101919
105Q,174
105Q,184
105Q,101917
105Q,101917
105Q,184
105Q,101919
105Q,129040
105Q,176
105Q,102417
105Q,101920
105Q,178
105Q,101921
105Q,253
105Q,811
105Q,101922
105Q,100792
105Q,255
105Q,101924
105Q,265
105Q,101925
105Q,503
105Q,644
105Q,101732
105Q,101927
105Q,650
105Q,108217
105Q,682
105Q,684
105Q,617
105Q,692
105Q,108221
105Q,676
105Q,108248
105Q,108226
105Q,108227
105Q,108228
105Q,1076
105Q,108229
105Q,108230
105Q,108231
105Q,108232
105Q,108234
105Q,101943
106,140199
106,124180
106,1112
106,133655
106,140202
106,133803
106,1110
106,1108
106,139142
106,1106
106,139141
106,1100
106,139140
106,140207
106,1098
106,139137
106,123860
106,139134
106,1241
106,827
106,843
106,110798
106,145290
106,111882
106,111257
106,140214
106,116572
106,837
106,853
106,851
106,140256
106,829
106,849
106,112432
106,133790
106,133789
106,138892
106,1446
106,133786
106,133282
106,112439
106,1428
106,133566
106,1440
106,112443
106,145275
106,116585
106,1015
106,133779
106,823
106,993
106,117904
106,140230
106,134930
106,117904
106,993
106,823
106,133779
106,1015
106,140228
106,133780
106,116585
106,133781
106,145275
106,112443
106,1440
106,133782
106,140226
106,133783
106,140225
106,133784
106,140224
106,1428
106,112439
106,133785
106,140223
106,133282
106,1424
106,133786
106,1446
106,133787
106,1231
106,138892
106,133789
106,140219
106,133790
106,112432
106,849
106,829
106,140256
106,133792
106,851
106,853
106,133793
106,855
106,116573
106,133794
106,116572
106,833
106,111882
106,140213
106,145290
106,145291
106,843
106,140211
106,139134
106,140209
106,1098
106,140207
106,139140
106,1100
106,139141
106,140206
106,1108
106,140205
106,1110
106,133803
106,142228
106,133654
106,140204
106,140202
106,140201
106,124180
106,140199
10,2435
10,893
10,108282
10,108283
10,100268
10,913
10,107376
10,108285
10,108286
10,108288
10,1057
10,108289
10,1059
10,102657
10,108290
10,1062
10,108291
10,116460
10,108353
10,839
10,1064
10,108293
10,108294
10,108295
10,1066
10,108296
10,1500
10,108271
10,108272
10,104917
10,108275
10,819
10,993
10,134930
10,108277
10,975
10,971
10,969
10,819
10,108278
10,957
10,959
10,120011
10,965
10,143668
10,967
10,961
10,973
10,963
10,108280
10,955
117,101763
117,101762
117,137523
117,101758
117,101756
117,101753
117,1155
117,102046
117,1039
117,102474
117,1145
117,1143
117,101933
117,101931
117,672
117,650
117,501
117,503
117,101926
117,265
117,100767
117,255
117,101922
117,811
117,253
117,101921
117,178
117,129039
117,178
117,101921
117,253
117,101922
117,100792
117,255
117,101924
117,265
117,101925
117,503
117,501
117,101732
117,101927
117,660
117,664
117,101933
117,101740
117,101742
117,1143
117,101743
117,1145
117,102474
117,1039
117,102046
117,1153
117,101751
117,101752
117,101754
117,101755
117,1157
117,101756
117,101758
117,101761
117,101763
117,101764
118,124506
118,1037
118,114615
118,114614
118,114613
118,114610
118,2268
118,114609
118,115991
118,114607
118,115984
118,115983
118,115981
118,115978
118,116115
118,791
118,103532
118,771
118,103534
118,221
118,115955
118,103536
118,125169
118,103538
118,217
118,101760
118,28
118,32
118,115999
118,103541
118,45
118,47
118,51
118,40
118,38
118,115950
118,112332
118,114099
118,129050
118,113416
118,122971
118,129048
118,129047
118,115780
118,124
118,100370
118,122
118,114106
118,207
118,108444
118,311
118,313
118,421
118,423
118,112331
118,114219
118,311
118,108444
118,207
118,193
118,114106
118,122
118,100370
118,124
118,129047
118,101319
118,115948
118,129048
118,122971
118,129050
118,114099
118,115950
